event_id,store_id,campaign_id,product_code,base_price,promo_type,quantity_sold(before_promo),quantity_sold(after_promo),,adjusted_quantity,,Promo_price,,Total Revenue Generated,,Incremental revenue,,incremental sold unit
94f48c,STVSK-1,CAMP_SAN_01,P06,415,25% OFF,22,16,,16,,311.25,,14110,,-4150,,-6
7ef92f,STHYD-5,CAMP_SAN_01,P07,300,BOGOF,55,213,,426,,150,,80400,,47400,,371
0f422c,STBLR-0,CAMP_DIW_01,P14,1020,BOGOF,42,168,,336,,510,,214200,,128520,,294
1e9a06,STCHE-4,CAMP_DIW_01,P13,350,BOGOF,84,338,,676,,175,,147700,,88900,,592
02ebe9,STBLR-8,CAMP_DIW_01,P11,190,50% OFF,66,88,,88,,95,,20900,,-4180,,22
260ff2,STMYS-2,CAMP_SAN_01,P01,172,33% OFF,204,291,,291,,115.24,,68622.84,,-1553.16,,87
7fc923,STTRV-0,CAMP_SAN_01,P08,1190,BOGOF,19,74,,148,,595,,110670,,65450,,129
b08c12,STMDU-3,CAMP_DIW_01,P03,156,25% OFF,227,202,,202,,117,,59046,,-11778,,-25
ca7298,STCBE-2,CAMP_SAN_01,P15,3000,500 Cashback,85,228,,228,,2500,,825000,,315000,,143
bf33ae,STMYS-0,CAMP_DIW_01,P14,1020,BOGOF,59,182,,364,,510,,245820,,125460,,305
35fb5b,STCBE-2,CAMP_DIW_01,P13,350,BOGOF,50,190,,380,,175,,84000,,49000,,330
def6ff,STMDU-0,CAMP_DIW_01,P11,190,50% OFF,70,89,,89,,95,,21755,,-4845,,19
2f3e5d,STCHE-2,CAMP_SAN_01,P01,172,33% OFF,333,402,,402,,115.24,,103602.48,,-10949.52,,69
ca3893,STMYS-1,CAMP_SAN_01,P09,90,25% OFF,52,39,,39,,67.5,,7312.5,,-2047.5,,-13
922e6a,STBLR-8,CAMP_SAN_01,P05,55,25% OFF,34,24,,24,,41.25,,2860,,-880,,-10
4f0587,STMDU-0,CAMP_SAN_01,P08,1190,BOGOF,33,136,,272,,595,,201110,,122570,,239
fa5b45,STVJD-1,CAMP_SAN_01,P08,1190,BOGOF,27,109,,218,,595,,161840,,97580,,191
df45ee,STHYD-3,CAMP_DIW_01,P01,172,33% OFF,309,534,,534,,115.24,,114686.16,,8390.16,,225
f3ac85,STBLR-5,CAMP_SAN_01,P03,200,BOGOF,348,1350,,2700,,100,,339600,,200400,,2352
292ca5,STHYD-2,CAMP_DIW_01,P04,290,25% OFF,287,220,,220,,217.5,,131080,,-35380,,-67
620715,STMYS-3,CAMP_SAN_01,P03,200,BOGOF,340,1485,,2970,,100,,365000,,229000,,2630
7e9777,STVJD-1,CAMP_DIW_01,P08,1190,BOGOF,24,82,,164,,595,,126140,,69020,,140
761785,STBLR-4,CAMP_SAN_01,P14,1020,BOGOF,121,474,,948,,510,,606900,,360060,,827
eb3bea,STVSK-2,CAMP_SAN_01,P15,3000,500 Cashback,109,238,,238,,2500,,922000,,268000,,129
276150,STCBE-3,CAMP_SAN_01,P07,300,BOGOF,33,128,,256,,150,,48300,,28500,,223
3beb46,STMYS-2,CAMP_SAN_01,P13,350,BOGOF,81,208,,416,,175,,101150,,44450,,335
47af00,STVJD-1,CAMP_DIW_01,P03,156,25% OFF,183,150,,150,,117,,46098,,-10998,,-33
627200,STCBE-4,CAMP_DIW_01,P14,1020,BOGOF,36,111,,222,,510,,149940,,76500,,186
bc8315,STHYD-1,CAMP_DIW_01,P12,62,50% OFF,122,135,,135,,31,,11749,,-3379,,13
1f083a,STVJD-0,CAMP_SAN_01,P06,415,25% OFF,16,14,,14,,311.25,,10997.5,,-2282.5,,-2
c1e0b6,STCHE-6,CAMP_SAN_01,P01,172,33% OFF,273,379,,379,,115.24,,90631.96,,-3280.03999999999,,106
f60d93,STCBE-0,CAMP_DIW_01,P05,55,25% OFF,78,75,,75,,41.25,,7383.75,,-1196.25,,-3
a10402,STVSK-2,CAMP_SAN_01,P02,860,33% OFF,295,436,,436,,576.2,,504923.2,,-2476.79999999999,,141
741bef,STMYS-0,CAMP_SAN_01,P13,350,BOGOF,114,287,,574,,175,,140350,,60550,,460
105788,STCHE-0,CAMP_SAN_01,P07,300,BOGOF,58,232,,464,,150,,87000,,52200,,406
a85a9a,STHYD-2,CAMP_SAN_01,P10,50,25% OFF,42,31,,31,,37.5,,3262.5,,-937.5,,-11
4.47E+06,STVJD-0,CAMP_SAN_01,P04,370,BOGOF,253,1017,,2034,,185,,469900,,282680,,1781
830e9a,STCHE-1,CAMP_DIW_01,P01,172,33% OFF,325,396,,396,,115.24,,101535.04,,-10264.96,,71
29524a,STBLR-9,CAMP_SAN_01,P10,50,25% OFF,40,36,,36,,37.5,,3350,,-650,,-4
3ce076,STMLR-1,CAMP_DIW_01,P11,190,50% OFF,38,50,,50,,95,,11970,,-2470,,12
32fa85,STCHE-3,CAMP_DIW_01,P05,55,25% OFF,106,92,,92,,41.25,,9625,,-2035,,-14
42f304,STCBE-3,CAMP_DIW_01,P06,415,25% OFF,66,57,,57,,311.25,,45131.25,,-9648.75,,-9
a929ed,STHYD-5,CAMP_DIW_01,P03,156,25% OFF,358,347,,347,,117,,96447,,-15249,,-11
6dae49,STBLR-1,CAMP_DIW_01,P05,55,25% OFF,117,114,,114,,41.25,,11137.5,,-1732.5,,-3
3b54c7,STHYD-3,CAMP_DIW_01,P04,290,25% OFF,367,297,,297,,217.5,,171027.5,,-41832.5,,-70
7d6e2a,STMLR-0,CAMP_DIW_01,P03,156,25% OFF,166,146,,146,,117,,42978,,-8814,,-20
c8ce63,STMDU-0,CAMP_DIW_01,P15,3000,500 Cashback,369,1221,,1221,,2500,,4159500,,1945500,,852
bd1314,STMYS-2,CAMP_SAN_01,P05,55,25% OFF,37,30,,30,,41.25,,3272.5,,-797.5,,-7
7634c0,STMLR-0,CAMP_SAN_01,P10,50,25% OFF,15,12,,12,,37.5,,1200,,-300,,-3
d304f9,STCHE-5,CAMP_DIW_01,P04,290,25% OFF,309,268,,268,,217.5,,147900,,-31320,,-41
34ac29,STMDU-0,CAMP_DIW_01,P06,415,25% OFF,73,64,,64,,311.25,,50215,,-10375,,-9
57a7bc,STHYD-5,CAMP_SAN_01,P14,1020,BOGOF,100,391,,782,,510,,500820,,296820,,682
70e65e,STCBE-0,CAMP_DIW_01,P15,3000,500 Cashback,320,937,,937,,2500,,3302500,,1382500,,617
cf2a34,STHYD-3,CAMP_DIW_01,P06,415,25% OFF,106,81,,81,,311.25,,69201.25,,-18778.75,,-25
1c1cb7,STHYD-5,CAMP_SAN_01,P10,50,25% OFF,39,35,,35,,37.5,,3262.5,,-637.5,,-4
8.25E+90,STBLR-3,CAMP_DIW_01,P05,55,25% OFF,112,88,,88,,41.25,,9790,,-2530,,-24
ad56bd,STMLR-2,CAMP_DIW_01,P09,110,50% OFF,36,37,,37,,55,,5995,,-1925,,1
32efe6,STVSK-3,CAMP_SAN_01,P08,1190,BOGOF,30,81,,162,,595,,132090,,60690,,132
eaa64b,STBLR-3,CAMP_SAN_01,P09,90,25% OFF,58,43,,43,,67.5,,8122.5,,-2317.5,,-15
9e82db,STMDU-1,CAMP_DIW_01,P05,55,25% OFF,92,79,,79,,41.25,,8318.75,,-1801.25,,-13
d5b8af,STVJD-1,CAMP_SAN_01,P11,190,50% OFF,25,35,,35,,95,,8075,,-1425,,10
6d24bc,STMDU-2,CAMP_DIW_01,P03,156,25% OFF,206,179,,179,,117,,53079,,-11193,,-27
107747,STHYD-1,CAMP_SAN_01,P02,860,33% OFF,488,580,,580,,576.2,,753876,,-85484,,92
04da18,STVSK-4,CAMP_SAN_01,P03,200,BOGOF,223,604,,1208,,100,,165400,,76200,,985
3a3e96,STBLR-6,CAMP_DIW_01,P07,300,BOGOF,68,263,,526,,150,,99300,,58500,,458
8f1624,STVJD-0,CAMP_DIW_01,P10,65,50% OFF,57,75,,75,,32.5,,6142.5,,-1267.5,,18
b8269b,STBLR-1,CAMP_DIW_01,P13,350,BOGOF,77,232,,464,,175,,108150,,54250,,387
c6ca4d,STHYD-2,CAMP_SAN_01,P02,860,33% OFF,465,646,,646,,576.2,,772125.2,,-27674.8,,181
987463,STBLR-0,CAMP_SAN_01,P07,300,BOGOF,45,185,,370,,150,,69000,,42000,,325
0b51fe,STHYD-3,CAMP_SAN_01,P10,50,25% OFF,39,29,,29,,37.5,,3037.5,,-862.5,,-10
d1ceaf,STBLR-5,CAMP_SAN_01,P10,50,25% OFF,36,29,,29,,37.5,,2887.5,,-712.5,,-7
d834f0,STMYS-3,CAMP_SAN_01,P08,1190,BOGOF,34,147,,294,,595,,215390,,134470,,260
1ed982,STCHE-6,CAMP_DIW_01,P13,350,BOGOF,75,252,,504,,175,,114450,,61950,,429
e9c690,STMDU-3,CAMP_SAN_01,P09,90,25% OFF,45,38,,38,,67.5,,6615,,-1485,,-7
268ca2,STVJD-0,CAMP_SAN_01,P15,3000,500 Cashback,63,151,,151,,2500,,566500,,188500,,88
a1624e,STHYD-1,CAMP_DIW_01,P02,860,33% OFF,351,449,,449,,576.2,,560573.8,,-43146.2,,98
31b59d,STVSK-3,CAMP_SAN_01,P10,50,25% OFF,27,21,,21,,37.5,,2137.5,,-562.5,,-6
82454e,STMLR-1,CAMP_DIW_01,P05,55,25% OFF,54,48,,48,,41.25,,4950,,-990,,-6
1548f8,STVSK-4,CAMP_SAN_01,P15,3000,500 Cashback,100,175,,175,,2500,,737500,,137500,,75
84a2f4,STCHE-7,CAMP_SAN_01,P04,370,BOGOF,423,1801,,3602,,185,,822880,,509860,,3179
9e59d5,STVSK-1,CAMP_DIW_01,P05,55,25% OFF,64,49,,49,,41.25,,5541.25,,-1498.75,,-15
873333,STMLR-0,CAMP_DIW_01,P15,3000,500 Cashback,196,509,,509,,2500,,1860500,,684500,,313
8b751b,STMLR-0,CAMP_SAN_01,P05,55,25% OFF,15,12,,12,,41.25,,1320,,-330,,-3
f856b9,STMLR-2,CAMP_SAN_01,P15,3000,500 Cashback,66,147,,147,,2500,,565500,,169500,,81
dcaa89,STHYD-6,CAMP_SAN_01,P13,350,BOGOF,100,403,,806,,175,,176050,,106050,,706
677e2c,STHYD-1,CAMP_SAN_01,P13,350,BOGOF,122,326,,652,,175,,156800,,71400,,530
b00eeb,STCHE-0,CAMP_SAN_01,P08,1190,BOGOF,51,196,,392,,595,,293930,,172550,,341
8ff468,STVJD-0,CAMP_SAN_01,P03,200,BOGOF,193,773,,1546,,100,,193200,,116000,,1353
72f6b4,STTRV-0,CAMP_SAN_01,P02,860,33% OFF,241,344,,344,,576.2,,405472.8,,-9047.19999999998,,103
300664,STHYD-5,CAMP_DIW_01,P13,350,BOGOF,80,276,,552,,175,,124600,,68600,,472
7ecbbb,STHYD-1,CAMP_DIW_01,P06,415,25% OFF,103,88,,88,,311.25,,70135,,-15355,,-15
2dc515,STMYS-3,CAMP_SAN_01,P01,172,33% OFF,232,294,,294,,115.24,,73784.56,,-6023.44,,62
a4fb0b,STMDU-0,CAMP_SAN_01,P02,860,33% OFF,318,448,,448,,576.2,,531617.6,,-15342.4,,130
f2d198,STTRV-1,CAMP_DIW_01,P03,156,25% OFF,166,157,,157,,117,,44265,,-7527,,-9
df5c15,STBLR-5,CAMP_DIW_01,P06,415,25% OFF,101,90,,90,,311.25,,69927.5,,-13902.5,,-11
4e6a19,STHYD-3,CAMP_SAN_01,P07,300,BOGOF,45,121,,242,,150,,49800,,22800,,197
6436da,STMDU-1,CAMP_SAN_01,P08,1190,BOGOF,30,118,,236,,595,,176120,,104720,,206
852b4f,STHYD-5,CAMP_SAN_01,P12,62,50% OFF,49,70,,70,,31,,5208,,-868,,21
26322a,STMLR-0,CAMP_DIW_01,P10,65,50% OFF,52,71,,71,,32.5,,5687.5,,-1072.5,,19
57576d,STBLR-5,CAMP_SAN_01,P08,1190,BOGOF,49,194,,388,,595,,289170,,172550,,339
af646e,STHYD-4,CAMP_SAN_01,P11,190,50% OFF,54,78,,78,,95,,17670,,-2850,,24
ccbc3a,STTRV-0,CAMP_DIW_01,P06,415,25% OFF,52,49,,49,,311.25,,36831.25,,-6328.75,,-3
572031,STBLR-6,CAMP_SAN_01,P03,200,BOGOF,423,1734,,3468,,100,,431400,,262200,,3045
5a21a5,STBLR-4,CAMP_SAN_01,P10,50,25% OFF,31,26,,26,,37.5,,2525,,-575,,-5
c6bf42,STCBE-3,CAMP_DIW_01,P07,300,BOGOF,52,173,,346,,150,,67500,,36300,,294
f5ff07,STCHE-6,CAMP_DIW_01,P11,190,50% OFF,80,100,,100,,95,,24700,,-5700,,20
2c8137,STVSK-3,CAMP_SAN_01,P07,300,BOGOF,31,77,,154,,150,,32400,,13800,,123
4e3a3d,STVJD-0,CAMP_DIW_01,P02,860,33% OFF,197,285,,285,,576.2,,333637,,-5203,,88
582098,STMYS-1,CAMP_SAN_01,P14,1020,BOGOF,109,453,,906,,510,,573240,,350880,,797
9387d1,STHYD-6,CAMP_DIW_01,P02,860,33% OFF,329,470,,470,,576.2,,553754,,-12126,,141
6c9451,STVSK-0,CAMP_DIW_01,P03,156,25% OFF,259,225,,225,,117,,66729,,-14079,,-34
9c74f7,STBLR-9,CAMP_DIW_01,P09,110,50% OFF,71,90,,90,,55,,12760,,-2860,,19
c3bbcc,STBLR-2,CAMP_SAN_01,P07,300,BOGOF,31,122,,244,,150,,45900,,27300,,213
00a25a,STCHE-3,CAMP_SAN_01,P12,62,50% OFF,64,89,,89,,31,,6727,,-1209,,25
7b0f7d,STVJD-1,CAMP_DIW_01,P01,172,33% OFF,180,255,,255,,115.24,,60346.2,,-1573.8,,75
b484bd,STTRV-1,CAMP_DIW_01,P06,415,25% OFF,36,34,,34,,311.25,,25522.5,,-4357.5,,-2
3aaafb,STMDU-2,CAMP_DIW_01,P06,415,25% OFF,50,43,,43,,311.25,,34133.75,,-7366.25,,-7
20d916,STCBE-1,CAMP_DIW_01,P07,300,BOGOF,57,188,,376,,150,,73500,,39300,,319
eccfbe,STCHE-1,CAMP_DIW_01,P02,860,33% OFF,364,451,,451,,576.2,,572906.2,,-53173.8,,87
71a7a0,STCHE-6,CAMP_DIW_01,P14,1020,BOGOF,59,195,,390,,510,,259080,,138720,,331
fd2628,STBLR-8,CAMP_DIW_01,P15,3000,500 Cashback,437,1306,,1306,,2500,,4576000,,1954000,,869
7b187a,STVSK-1,CAMP_SAN_01,P14,1020,BOGOF,82,322,,644,,510,,412080,,244800,,562
345b49,STMDU-2,CAMP_SAN_01,P14,1020,BOGOF,76,300,,600,,510,,383520,,228480,,524
1c4a78,STMLR-2,CAMP_SAN_01,P12,62,50% OFF,27,31,,31,,31,,2635,,-713,,4
70c312,STHYD-4,CAMP_SAN_01,P13,350,BOGOF,135,534,,1068,,175,,234150,,139650,,933
1ee94b,STHYD-0,CAMP_DIW_01,P13,350,BOGOF,68,235,,470,,175,,106050,,58450,,402
c381ea,STMLR-1,CAMP_SAN_01,P08,1190,BOGOF,27,106,,212,,595,,158270,,94010,,185
8724c8,STCBE-4,CAMP_SAN_01,P04,370,BOGOF,363,990,,1980,,185,,500610,,231990,,1617
8f3699,STVSK-3,CAMP_DIW_01,P03,156,25% OFF,196,174,,174,,117,,50934,,-10218,,-22
bfb2b4,STBLR-7,CAMP_SAN_01,P13,350,BOGOF,133,559,,1118,,175,,242200,,149100,,985
19e2f0,STCHE-7,CAMP_SAN_01,P11,190,50% OFF,58,81,,81,,95,,18715,,-3325,,23
a0d919,STMDU-1,CAMP_DIW_01,P08,1190,BOGOF,35,122,,244,,595,,186830,,103530,,209
98c85b,STMLR-2,CAMP_DIW_01,P13,350,BOGOF,38,133,,266,,175,,59850,,33250,,228
d60641,STHYD-0,CAMP_DIW_01,P03,156,25% OFF,351,305,,305,,117,,90441,,-19071,,-46
a340fc,STBLR-4,CAMP_DIW_01,P05,55,25% OFF,136,121,,121,,41.25,,12471.25,,-2488.75,,-15
4dca21,STVSK-1,CAMP_SAN_01,P04,370,BOGOF,252,985,,1970,,185,,457690,,271210,,1718
ff18f2,STVSK-3,CAMP_DIW_01,P15,3000,500 Cashback,260,681,,681,,2500,,2482500,,922500,,421
b79fd9,STVJD-1,CAMP_DIW_01,P04,290,25% OFF,150,123,,123,,217.5,,70252.5,,-16747.5,,-27
c23e33,STHYD-6,CAMP_SAN_01,P11,190,50% OFF,49,69,,69,,95,,15865,,-2755,,20
cf734f,STHYD-4,CAMP_SAN_01,P08,1190,BOGOF,51,203,,406,,595,,302260,,180880,,355
0951b6,STMYS-1,CAMP_DIW_01,P09,110,50% OFF,103,159,,159,,55,,20075,,-2585,,56
413f48,STVSK-0,CAMP_SAN_01,P14,1020,BOGOF,61,234,,468,,510,,300900,,176460,,407
de1ced,STCHE-3,CAMP_DIW_01,P03,156,25% OFF,330,290,,290,,117,,85410,,-17550,,-40
291ddf,STCBE-1,CAMP_SAN_01,P03,200,BOGOF,267,1054,,2108,,100,,264200,,157400,,1841
aa1bbd,STCBE-0,CAMP_SAN_01,P10,50,25% OFF,25,22,,22,,37.5,,2075,,-425,,-3
53a947,STBLR-1,CAMP_SAN_01,P06,415,25% OFF,39,36,,36,,311.25,,27390,,-4980,,-3
b8f698,STMDU-3,CAMP_DIW_01,P10,65,50% OFF,68,76,,76,,32.5,,6890,,-1950,,8
13ad42,STMDU-0,CAMP_DIW_01,P03,156,25% OFF,241,209,,209,,117,,62049,,-13143,,-32
93e61f,STBLR-4,CAMP_DIW_01,P10,65,50% OFF,92,120,,120,,32.5,,9880,,-2080,,28
3070a3,STVSK-3,CAMP_DIW_01,P10,65,50% OFF,68,76,,76,,32.5,,6890,,-1950,,8
cf0a2a,STHYD-3,CAMP_DIW_01,P09,110,50% OFF,92,147,,147,,55,,18205,,-2035,,55
ae5745,STCBE-4,CAMP_DIW_01,P06,415,25% OFF,68,61,,61,,311.25,,47206.25,,-9233.75,,-7
695cd9,STTRV-1,CAMP_SAN_01,P07,300,BOGOF,21,82,,164,,150,,30900,,18300,,143
b76614,STMLR-0,CAMP_SAN_01,P12,62,50% OFF,33,47,,47,,31,,3503,,-589,,14
d42636,STBLR-6,CAMP_SAN_01,P05,55,25% OFF,25,20,,20,,41.25,,2200,,-550,,-5
d9d3f4,STMYS-1,CAMP_DIW_01,P10,65,50% OFF,103,158,,158,,32.5,,11830,,-1560,,55
8cbaa3,STHYD-2,CAMP_SAN_01,P08,1190,BOGOF,60,238,,476,,595,,354620,,211820,,416
aaea9e,STTRV-0,CAMP_DIW_01,P10,65,50% OFF,68,93,,93,,32.5,,7442.5,,-1397.5,,25
34a266,STMLR-0,CAMP_DIW_01,P08,1190,BOGOF,24,70,,140,,595,,111860,,54740,,116
b017e0,STMDU-3,CAMP_DIW_01,P02,860,33% OFF,276,345,,345,,576.2,,436149,,-38571,,69
7014a8,STBLR-8,CAMP_SAN_01,P14,1020,BOGOF,97,385,,770,,510,,491640,,293760,,673
9e2de4,STMLR-0,CAMP_SAN_01,P07,300,BOGOF,21,54,,108,,150,,22500,,9900,,87
ec29f9,STTRV-1,CAMP_SAN_01,P06,415,25% OFF,21,19,,19,,311.25,,14628.75,,-2801.25,,-2
5c50b6,STHYD-6,CAMP_SAN_01,P09,90,25% OFF,55,45,,45,,67.5,,7987.5,,-1912.5,,-10
e2a523,STHYD-5,CAMP_DIW_01,P07,300,BOGOF,59,195,,390,,150,,76200,,40800,,331
166a02,STCHE-6,CAMP_SAN_01,P13,350,BOGOF,111,445,,890,,175,,194600,,116900,,779
61b929,STVSK-2,CAMP_DIW_01,P14,1020,BOGOF,33,109,,218,,510,,144840,,77520,,185
908a96,STHYD-4,CAMP_SAN_01,P12,62,50% OFF,52,72,,72,,31,,5456,,-992,,20
d0f417,STCBE-4,CAMP_DIW_01,P12,62,50% OFF,89,112,,112,,31,,8990,,-2046,,23
c4b10c,STCHE-5,CAMP_DIW_01,P06,415,25% OFF,87,77,,77,,311.25,,60071.25,,-12138.75,,-10
e39703,STBLR-9,CAMP_DIW_01,P08,1190,BOGOF,47,163,,326,,595,,249900,,138040,,279
1.11E+11,STMYS-3,CAMP_SAN_01,P11,190,50% OFF,43,48,,48,,95,,12730,,-3610,,5
029ff8,STMLR-0,CAMP_SAN_01,P01,172,33% OFF,169,236,,236,,115.24,,56264.64,,-1871.36,,67
daff65,STMLR-0,CAMP_DIW_01,P11,190,50% OFF,35,45,,45,,95,,10925,,-2375,,10
108a63,STHYD-3,CAMP_SAN_01,P05,55,25% OFF,30,22,,22,,41.25,,2557.5,,-742.5,,-8
e7d681,STCHE-5,CAMP_DIW_01,P13,350,BOGOF,66,226,,452,,175,,102200,,56000,,386
02fa4b,STVSK-4,CAMP_DIW_01,P01,172,33% OFF,155,218,,218,,115.24,,51782.32,,-1537.68,,63
2b0a40,STHYD-2,CAMP_DIW_01,P13,350,BOGOF,82,273,,546,,175,,124250,,66850,,464
406a98,STBLR-5,CAMP_SAN_01,P01,172,33% OFF,264,361,,361,,115.24,,87009.64,,-3806.35999999999,,97
ad1849,STCHE-1,CAMP_DIW_01,P05,55,25% OFF,119,107,,107,,41.25,,10958.75,,-2131.25,,-12
cfa879,STCHE-4,CAMP_SAN_01,P13,350,BOGOF,114,502,,1004,,175,,215600,,135800,,890
d2b963,STVJD-0,CAMP_SAN_01,P14,1020,BOGOF,48,187,,374,,510,,239700,,141780,,326
2e3393,STCHE-3,CAMP_SAN_01,P14,1020,BOGOF,112,460,,920,,510,,583440,,354960,,808
68718c,STCHE-0,CAMP_DIW_01,P04,290,25% OFF,309,265,,265,,217.5,,147247.5,,-31972.5,,-44
591730,STBLR-2,CAMP_SAN_01,P09,90,25% OFF,64,53,,53,,67.5,,9337.5,,-2182.5,,-11
7d1872,STMYS-2,CAMP_DIW_01,P02,860,33% OFF,283,430,,430,,576.2,,491146,,4386.00000000003,,147
4b3df6,STTRV-1,CAMP_SAN_01,P14,1020,BOGOF,61,234,,468,,510,,300900,,176460,,407
55b461,STMDU-0,CAMP_SAN_01,P06,415,25% OFF,21,17,,17,,311.25,,14006.25,,-3423.75,,-4
6b26bc,STHYD-2,CAMP_SAN_01,P05,55,25% OFF,24,18,,18,,41.25,,2062.5,,-577.5,,-6
dbd453,STMLR-1,CAMP_SAN_01,P03,200,BOGOF,195,776,,1552,,100,,194200,,116200,,1357
1fcb3a,STVSK-4,CAMP_DIW_01,P05,55,25% OFF,89,72,,72,,41.25,,7865,,-1925,,-17
0a45d8,STTRV-0,CAMP_DIW_01,P02,860,33% OFF,196,303,,303,,576.2,,343148.6,,6028.60000000001,,107
e4235a,STVJD-0,CAMP_SAN_01,P09,90,25% OFF,33,30,,30,,67.5,,4995,,-945,,-3
ca1e8f,STHYD-1,CAMP_DIW_01,P08,1190,BOGOF,54,167,,334,,595,,262990,,134470,,280
aa76f1,STHYD-0,CAMP_SAN_01,P11,190,50% OFF,42,65,,65,,95,,14155,,-1805,,23
e8aca2,STCBE-4,CAMP_DIW_01,P08,1190,BOGOF,40,119,,238,,595,,189210,,94010,,198
c8670a,STCHE-0,CAMP_DIW_01,P15,3000,500 Cashback,343,1056,,1056,,2500,,3669000,,1611000,,713
c99d18,STCHE-7,CAMP_DIW_01,P08,1190,BOGOF,54,218,,436,,595,,323680,,195160,,382
bcbc28,STVSK-1,CAMP_DIW_01,P02,860,33% OFF,253,389,,389,,576.2,,441721.8,,6561.80000000002,,136
d7e3d8,STVJD-1,CAMP_DIW_01,P13,350,BOGOF,36,124,,248,,175,,56000,,30800,,212
5991de,STMDU-0,CAMP_DIW_01,P09,110,50% OFF,43,58,,58,,55,,7920,,-1540,,15
4ad894,STMLR-1,CAMP_DIW_01,P03,156,25% OFF,192,165,,165,,117,,49257,,-10647,,-27
72f1c0,STVSK-4,CAMP_DIW_01,P11,190,50% OFF,57,72,,72,,95,,17670,,-3990,,15
465ef1,STCHE-4,CAMP_DIW_01,P04,290,25% OFF,304,273,,273,,217.5,,147537.5,,-28782.5,,-31
db76f3,STBLR-0,CAMP_DIW_01,P01,172,33% OFF,294,438,,438,,115.24,,101043.12,,-92.8799999999974,,144
8f4f8c,STVJD-1,CAMP_DIW_01,P02,860,33% OFF,210,321,,321,,576.2,,365560.2,,4360.20000000001,,111
dd2475,STBLR-4,CAMP_DIW_01,P04,290,25% OFF,325,289,,289,,217.5,,157107.5,,-31392.5,,-36
a0a2ec,STBLR-8,CAMP_SAN_01,P01,172,33% OFF,346,491,,491,,115.24,,116094.84,,-2929.16,,145
0f1be6,STCBE-2,CAMP_DIW_01,P12,62,50% OFF,89,129,,129,,31,,9517,,-1519,,40
5b357f,STMDU-1,CAMP_DIW_01,P15,3000,500 Cashback,322,985,,985,,2500,,3428500,,1496500,,663
380012,STMDU-3,CAMP_DIW_01,P06,415,25% OFF,56,50,,50,,311.25,,38802.5,,-7677.5,,-6
3906da,STMLR-2,CAMP_SAN_01,P09,90,25% OFF,33,27,,27,,67.5,,4792.5,,-1147.5,,-6
c917a3,STCHE-3,CAMP_DIW_01,P04,290,25% OFF,350,311,,311,,217.5,,169142.5,,-33857.5,,-39
3a8b79,STMDU-0,CAMP_DIW_01,P07,300,BOGOF,49,199,,398,,150,,74400,,45000,,349
c48008,STBLR-2,CAMP_DIW_01,P14,1020,BOGOF,47,162,,324,,510,,213180,,117300,,277
88a405,STMLR-2,CAMP_DIW_01,P12,62,50% OFF,63,71,,71,,31,,6107,,-1705,,8
1ba928,STMDU-1,CAMP_DIW_01,P04,290,25% OFF,255,219,,219,,217.5,,121582.5,,-26317.5,,-36
